query,bgpx,found,varSize,size,ms,gen
query-310.rq,10,128,11,9,5,192
query-310.rq,11,2048,16,14,188,3072
query-311.rq,1,8,4,3,0,8
query-312.rq,1,16,5,4,1,16
query-312.rq,2,4,3,2,0,4
query-313.rq,1,2,3,3,0,4
query-313.rq,2,2,3,3,0,4
query-313.rq,3,2,3,3,0,4
query-313.rq,4,2,3,3,0,4
query-313.rq,5,2,3,3,0,4
query-313.rq,6,8,7,9,0,64
query-313.rq,7,2,3,3,1,4
query-314.rq,1,2,4,6,0,16
query-314.rq,2,8,7,9,1,64
query-314.rq,3,2,3,3,0,4
query-314.rq,4,2,3,3,0,4
query-314.rq,5,2,3,3,0,4
query-315.rq,1,6,3,1,0,12
query-316.rq,1,6,3,1,0,12
query-317.rq,1,6,3,1,0,12
query-318.rq,1,1,0,0,0,1
query-318.rq,2,6,3,1,0,12
query-318.rq,3,2,2,1,0,2
